collection,repunit,grpvec
Deschutes_98-UDR-01  ,Deschutes_R_fa,1
Carson_stock_(WNFH)_01-WC-01  ,Mid/Up_Columbia_R_sp,2
Deschutes-Shitike_Shitike0096_01  ,Mid/Up_Columbia_R_sp,2
Deschutes-Warm Springs_448-001  ,Mid/Up_Columbia_R_sp,2
Entiat_B0840_01  ,Mid/Up_Columbia_R_sp,2
John Day_32970-001  ,Mid/Up_Columbia_R_sp,2
Klickitat Hatchery_OtsKHCHK06-03  ,Mid/Up_Columbia_R_sp,2
Little White Salmon_661-001  ,Mid/Up_Columbia_R_sp,2
Middle Fork John Day_31508-MF-600  ,Mid/Up_Columbia_R_sp,2
North Fork John Day_31508-NF-103  ,Mid/Up_Columbia_R_sp,2
Ots_11DRASCHF-0001  ,Mid/Up_Columbia_R_sp,2
OtsWENcr07-060107-001  ,Mid/Up_Columbia_R_sp,2
OtsWENnr05-052405-001  ,Mid/Up_Columbia_R_sp,2
OtsWENwr05-052505-001  ,Mid/Up_Columbia_R_sp,2
Yakima-American River_03EH-001  ,Mid/Up_Columbia_R_sp,2
Yakima-Cle Elum_97DA-001  ,Mid/Up_Columbia_R_sp,2
Clearwater-NPTH_OtsCW03-3  ,Snake_R_fa,3
Lyons Ferry_2000-LFH-003  ,Snake_R_fa,3
OtsCLWR08S_0003  ,Snake_R_fa,3
Big Creek_BC3-17  ,Snake_R_sp,4
Chamberlain_31670-01  ,Snake_R_sp,4
Dworshak_Dwo05-09  ,Snake_R_sp,4
Imnaha_32583-01  ,Snake_R_sp,4
Johnson Creek_OtsJCP02-1703  ,Snake_R_sp,4
Lochsa-Powell_Powell05-49  ,Snake_R_sp,4
Newsome Creek_OtsNew01-NPTH0008  ,Snake_R_sp,4
OtsBRVC10X_0904  ,Snake_R_sp,4
OtsCAMS09C_0001  ,Snake_R_sp,4
OtsCATH06S_0001  ,Snake_R_sp,4
OtsCFLR10X_0001  ,Snake_R_sp,4
OtsCHAM07X_0002  ,Snake_R_sp,4
OtsCPHC10X_0001  ,Snake_R_sp,4
OtsCRKW10S_0001  ,Snake_R_sp,4
OtsEKBV10X_0742  ,Snake_R_sp,4
OtsGRND08B_0001  ,Snake_R_sp,4
OtsHYDN10X_0001  ,Snake_R_sp,4
OtsIMNA08B_0001  ,Snake_R_sp,4
OtsLEMW10C_0001  ,Snake_R_sp,4
OtsLL3A10C_0001  ,Snake_R_sp,4
OtsLOLO02S_0001  ,Snake_R_sp,4
OtsLSTN09B_0093  ,Snake_R_sp,4
OtsMARS10X_0361  ,Snake_R_sp,4
OtsMINA02C_0001  ,Snake_R_sp,4
OtsPAHS10S_0004  ,Snake_R_sp,4
OtsPOWT09S_0001  ,Snake_R_sp,4
OtsREDT10S_0001  ,Snake_R_sp,4
OtsRRHW06S_0001  ,Snake_R_sp,4
OtsSAWW09S_0001  ,Snake_R_sp,4
OtsSECS10X_0131  ,Snake_R_sp,4
OtsSFSW10S_0001  ,Snake_R_sp,4
OtsSULP10X_1261  ,Snake_R_sp,4
OtsSUMT10X_0180  ,Snake_R_sp,4
OtsVALL07X_0001  ,Snake_R_sp,4
Pahsimeroi_pa04-191  ,Snake_R_sp,4
Rapid River_32605-06  ,Snake_R_sp,4
Salmon-East Fork_1026-1062-1  ,Snake_R_sp,4
Sawtooth-Upper Salmon_SA03-77  ,Snake_R_sp,4
Tucannon_03EK-1  ,Snake_R_sp,4
Wenaha_WEN 2006 01  ,Snake_R_sp,4
WF-Yankee_1058-1093-1  ,Snake_R_sp,4
OtsZnlo11_2681  ,Spring_Cr_Group_tule,5
White Salmon River_1025-001  ,Spring_Cr_Group_tule,5
Entiat_B0840_13  ,Up_Columbia_R_su/fa,6
Hanford_00-HR-01  ,Up_Columbia_R_su/fa,6
Methow_93EC-01  ,Up_Columbia_R_su/fa,6
Wenatchee_93DD-01  ,Up_Columbia_R_su/fa,6
Yakima_98FB-02  ,Up_Columbia_R_su/fa,6
Cowlitz_04-IT-09  ,W_Cascade_fa,7
Elochoman_95EP-66  ,W_Cascade_fa,7
Lewis_03IN-1  ,W_Cascade_fa,7
North Fork Lewis River_04KY-02  ,W_Cascade_fa,7
North Fork Lewis River_04KZ-01  ,W_Cascade_fa,7
Sandy_33142_110  ,W_Cascade_fa,7
Cowlitz River_04FJ-01  ,W_Cascade_sp,8
Kalama_04FK-001  ,W_Cascade_sp,8
McKenzie_OtsMcK-33187_411  ,Willamette_R,9
Sandy_31513-B813  ,Willamette_R,9
Santiam-North_OtsSant-33186_252  ,Willamette_R,9
