OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
JSOES_May2024	90839-001	OtsPBT22-LWSSp-0747	OtsPBT22-LWSSp-0657	Little_White_Salmon_sp	2022	0.000000	0.000000	20.702858	0.998581	0.998581	C_Se_Se	452	537	0	2	2	2	2	0	1	1	0	0	0	---
JSOES_May2024	90839-002	OtsLOOK22S_0539	OtsLOOK22S_0738	Lookingglass	2022	0.000000	0.000000	20.750073	0.998646	0.998646	C_Se_Se	216	215	0	1	1	1	1	0	0	1	0	0	0	---
JSOES_May2024	90839-003	OtsPBT22-LNFH-0700	OtsPBT22-LNFH-0215	Leavenworth	2022	0.000000	0.000000	21.114332	0.999059	0.999059	C_Se_Se	22	32	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-004	OtsDWOR22S_1007	OtsDWOR22S_0010	Dworshak	2022	0.000000	0.000000	19.301110	0.994260	0.994260	C_Se_Se	1135	1413	1	5	5	5	5	0	0	0	0	0	0	---
JSOES_May2024	90839-005	OtsPBT22LFSuFa-0839	OtsPBT22LFSuFa-0709	Kalama_Falls_su/fa	2022	7.150046	0.951000	1.358037	0.000003	0.540581	C_U_U	512	417	0	3	3	3	3	1	4	0	2	1	4	Ots_103122-180,Ots_mapK-3'-309,Ots_OTALDBINT1-SNP1,Ots_S7-1
JSOES_May2024	90839-006	OtsSAWT22S_0909	OtsSAWT22S_0209	Sawtooth	2022	0.001805	0.001000	18.575423	0.988212	0.988212	C_Se_Se	174	219	0	5	5	5	5	0	0	2	0	0	0	---
JSOES_May2024	90839-007	OtsRAPH22S_2130	OtsRAPH22S_0129	Rapid_River	2022	0.000262	0.002000	19.159595	0.993393	0.993393	C_Se_Se	124	165	0	1	1	1	1	0	0	3	0	0	0	---
JSOES_May2024	90839-008	OtsPBT22-LNFH-0798	OtsPBT22-LNFH-0303	Leavenworth	2022	0.009830	0.007000	18.211453	0.983124	0.983124	C_Se_Se	11	23	0	1	1	1	1	1	0	1	0	0	0	---
JSOES_May2024	90839-009	---	---	---	---	---	---	---	---	---	---	37	21	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-010	---	---	---	---	---	---	---	---	---	---	367	400	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-011	OtsPBT22-LNFH-0794	OtsPBT22-LNFH-0365	Leavenworth	2022	0.892729	0.777000	8.186700	0.002574	0.429476	C_U_Se	709	720	0	19	19	19	19	0	1	1	1	0	4	Ots_112820-284,Ots_cox1-241,Ots_ppie-245,Ots_u211-85
