"ID","Not regional","Deschutes_R_fa","Mid/Up_Columbia_R_sp","Snake_R_fa","Snake_R_sp","Spring_Cr_Group_tule","Up_Columbia_R_su/fa","W_Cascade_fa","W_Cascade_sp","Willamette_R"
"90839-001",9.9999999999989e-05,0,0.65743425,0,0.34246575,0,0,0,0,0
"90839-002",9.9999999999989e-05,0,0.24677532,0,0.75312468,0,0,0,0,0
"90839-003",0,0,0.3338,0,0.6662,0,0,0,0,0
"90839-004",0,0,0.4108,0,0.5892,0,0,0,0,0
"90839-005",0,0,0,0,0,1,0,0,0,0
"90839-006",0.000299999999999967,0,0,0,0.9997,0,0,0,0,0
"90839-007",0,0,0.0063,0,0.9937,0,0,0,0,0
"90839-008",0,0,0.3109,0,0.6891,0,0,0,0,0
"90839-009",0,0,0,0,0,0,0,0,0,1
"90839-010",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-011",0.6497,0,0.32598918,0,0.02431082,0,0,0,0,0
"90839-012",0.000499999999999945,0,0.91604175,0,0.08345825,0,0,0,0,0
"90839-013",0.00529999999999997,0,0.80093244,0,0.19376756,0,0,0,0,0
"90839-014",0,0,0.6297,0,0.3703,0,0,0,0,0
"90839-015",0,0,0,0,0,0,0,0,0,1
"90839-016",0,0,0.0019,0,0.9981,0,0,0,0,0
"90839-017",0.000800000000000023,0,0.52298128,0,0.47621872,0,0,0,0,0
"90839-018",0.000600000000000045,0,0.8265038,0,0.1728962,0,0,0,0,0
"90839-019",0.00470000000000004,0,0,0,0,0,0,0,0,0.9953
"90839-020",0,0,0,0,0,0,0,0,0,1
"90839-021",0.0169,0,0.01032255,0,0.97277745,0,0,0,0,0
"90839-022",9.9999999999989e-05,0,0.56844315,0,0.43145685,0,0,0,0,0
"90839-023",0.000399999999999956,0,0.5287884,0,0.4708116,0,0,0,0,0
"90839-024",0,0,0.5002,0,0.4998,0,0,0,0,0
"90839-025",0,0,0,0,1,0,0,0,0,0
"90839-026",0.00819999999999999,0,0.9918,0,0,0,0,0,0,0
"90839-027",0,0,0,0,0,0,0,0,0,1
"90839-028",0.000800000000000023,0,0,0,0,0,0,0,0.00329736,0.99590264
"90839-029",9.9999999999989e-05,0,0,0,0,0,0,0,0,0.9999
"90839-030",0,0,0,0,0,0,0,0,0,1
"90839-031",9.9999999999989e-05,0,0,0,0,0,0,0,0,0.9999
"90839-032",0.000499999999999945,0,0,0,0,0,0,0.0065967,0.9927034,0.0001999
"90839-033",0,0,0,0,0,0,0,0,0,1
"90839-034",0.1117,0,0,0,0,0.00017766,0,0.00035532,0.88776702,0
"90839-035",0.000700000000000034,0,0,0,0,0,0,0,0,0.9993
"90839-036",0,0,0,0,0,0,0,0,0,1
"90839-038",0.000700000000000034,0,0.72379299,0,0.27550701,0,0,0,0,0
"90839-039",0.00270000000000004,0,0.17582399,0,0.82147601,0,0,0,0,0
"90839-040",0,0,0.7822,0,0.2178,0,0,0,0,0
"90839-041",0.00129999999999997,0,0.99440559,0,0.00429441,0,0,0,0,0
"90839-042",0,0,0.2107,0,0.7893,0,0,0,0,0
"90839-043",0,0,0.9992,0,8e-04,0,0,0,0,0
"90839-044",0,0,0.9521,0,0.0479,0,0,0,0,0
"90839-045",0,0,0.8228,0,0.1772,0,0,0,0,0
"90839-046",0,0,0.0653,0,0.9347,0,0,0,0,0
"90839-047",0,0,0.005,0,0.995,0,0,0,0,0
"90839-048",0,0,0.8688,0,0.1312,0,0,0,0,0
"90839-049",0,0,0.0068,0,0.9932,0,0,0,0,0
"90839-050",0,0,0.1394,0,0.8606,0,0,0,0,0
"90839-051",0.0122,0,0.8233313,0,0.1644687,0,0,0,0,0
"90839-052",0.000199999999999978,0,0,0.1169766,0,0,0.8828234,0,0,0
"90839-053",0,0,0.9847,0,0.0153,0,0,0,0,0
"90839-054",0.00880000000000003,0,0.98188272,0,0.00931728,0,0,0,0,0
"90839-055",9.9999999999989e-05,0,0.83281671,0,0.16708329,0,0,0,0,0
"90839-056",0,0,0.0191,0,0.9809,0,0,0,0,0
"90839-057",0,0,0.0015,0,0.9985,0,0,0,0,0
"90839-058",0.000199999999999978,0,0.96410714,0,0.03569286,0,0,0,0,0
"90839-059",0.01,0,0.678546,0,0.311454,0,0,0,0,0
"90839-060",0,0,0.2911,0,0.7089,0,0,0,0,0
"90839-061",0.002,0,9.98e-05,0,0.9979002,0,0,0,0,0
"90839-062",0.000299999999999967,0,0,0,0,0,0,0,0,0.9997
"90839-063",0.000199999999999978,0,0.00139972,0,0.99840028,0,0,0,0,0
"90839-064",0,0,0.1227,0,0.8773,0,0,0,0,0
"90839-065",0,0,3e-04,0,0.9997,0,0,0,0,0
"90839-066",0,0,0,0,0,0,0,0,0,1
"90839-067",0.000199999999999978,0,0.89512094,0,0.10467906,0,0,0,0,0
"90839-068",0.00129999999999997,0,0.98381937,0,0.01488063,0,0,0,0,0
"90839-069",0,0,0.02,0,0.98,0,0,0,0,0
"90839-070",9.9999999999989e-05,0,0.96180381,0,0.03809619,0,0,0,0,0
"90839-071",0.00149999999999995,0,0.8417355,0,0.1567645,0,0,0,0,0
"90839-072",0,0,0.8199,0,0.1801,0,0,0,0,0
"90839-073",0.00770000000000004,0,0.96779019,0,0.02450981,0,0,0,0,0
"90839-074",0,0,0.002,0,0.998,0,0,0,0,0
"90839-075",0,0,0.0128,0,0.9872,0,0,0,0,0
"90839-076",0.000399999999999956,0,0.9996,0,0,0,0,0,0,0
"90839-077",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-078",0,0,0.9995,0,5e-04,0,0,0,0,0
"90839-079",0.000299999999999967,0,0.85764263,0,0.14205737,0,0,0,0,0
"90839-080",0,0,0.6052,0,0.3948,0,0,0,0,0
"90839-081",0,0,0,1e-04,0,0,0.9999,0,0,0
"90839-082",0.000399999999999956,0,0.02039184,0,0.97920816,0,0,0,0,0
"90839-083",0.0737,0,0.63488602,0,0.29141398,0,0,0,0,0
"90839-084",9.9999999999989e-05,0,0.07109289,0,0.92880711,0,0,0,0,0
"90839-085",0.00719999999999998,0,0.31600824,0,0.67679176,0,0,0,0,0
"90839-086",0.000399999999999956,0,0.39314268,0,0.60645732,0,0,0,0,0
"90839-087",0.00170000000000003,0,0.99071292,0,0.00758708,0,0,0,0,0
"90839-088",0.000199999999999978,0,0.00319936,0,0.99660064,0,0,0,0,0
"90839-089",0.8356,0,0.15964884,0,0.00475116,0,0,0,0,0
"90839-090",0.00119999999999998,0,0.93557596,0,0.06322404,0,0,0,0,0
"90839-091",9.9999999999989e-05,0,0.11148885,0,0.88841115,0,0,0,0,0
"90839-092",0,0,0,0,1,0,0,0,0,0
"90839-093",0,0,0.059,0,0.941,0,0,0,0,0
"90839-094",0.054,0,0.9324722,0,0.0135278,0,0,0,0,0
"90839-095",9.9999999999989e-05,0,0.00159984,0,0.99830016,0,0,0,0,0
"90839-096",0.000700000000000034,0,0.92745033,0,0.07184967,0,0,0,0,0
"90839-097",9.9999999999989e-05,0,0,0,0.9999,0,0,0,0,0
"90839-098",0,0,3e-04,0,0.9997,0,0,0,0,0
"90839-099",0.00360000000000005,0,0.05440344,0,0.94199656,0,0,0,0,0
"90839-100",9.9999999999989e-05,0,0.98060193,0,0.01929807,0,0,0,0,0
"90839-101",0.00170000000000003,0,0.94898398,0,0.04931602,0,0,0,0,0
"90839-102",0,0,0,0,1,0,0,0,0,0
"90839-103",9.9999999999989e-05,0,0.75762423,0,0.24227577,0,0,0,0,0
"90839-104",9.9999999999989e-05,0,0,0,0.9999,0,0,0,0,0
"90839-105",0.00800000000000001,0,0.0323392,0,0.9596608,0,0,0,0,0
"90839-106",0,0,0,0,0,0,0,0,0,1
"90839-107",0.00290000000000001,0,0.39126204,0,0.60583796,0,0,0,0,0
"90839-108",0.00139999999999996,0,0.07719178,0,0.92140822,0,0,0,0,0
"90839-109",0,0,0.9995,0,5e-04,0,0,0,0,0
"90839-110",0,0,0.8594,0,0.1406,0,0,0,0,0
"90839-111",0,0,0.0025,0,0.9975,0,0,0,0,0
"90839-112",0.00319999999999998,0,0.5138504,0,0.4829496,0,0,0,0,0
"90839-113",9.9999999999989e-05,0,0.14868513,0,0.85121487,0,0,0,0,0
"90839-114",0.0648,0,0,0.00813624,0,0,0.92706376,0,0,0
"90839-115",9.9999999999989e-05,0,0.05089491,0,0.94900509,0,0,0,0,0
"90839-116",0,0,0.6819,0,0.3181,0,0,0,0,0
"90839-117",0,0,0,0.1295,0,0,0.8705,0,0,0
"90839-118",0.001,0,0.6439554,0,0.3550446,0,0,0,0,0
"90839-119",0,0,0.0073,0,0.9927,0,0,0,0,0
"90839-120",0,0,0.9328,0,0.0672,0,0,0,0,0
"90839-121",0.00119999999999998,0,0.704154,0,0.294646,0,0,0,0,0
"90839-122",0.000399999999999956,0,0.3743502,0,0.6252498,0,0,0,0,0
"90839-123",0.1596,0,0.65450352,0,0.18589648,0,0,0,0,0
"90839-124",0.000800000000000023,0,0.35591504,0,0.64328496,0,0,0,0,0
"90839-125",0,0,0.4277,0,0.5723,0,0,0,0,0
"90839-126",0,0,0.9382,0,0.0618,0,0,0,0,0
"90839-127",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-128",0.000600000000000045,0,0.13601834,0,0.86338166,0,0,0,0,0
"90839-129",9.9999999999989e-05,0,0.01919808,0,0.98070192,0,0,0,0,0
"90839-130",0.00280000000000002,0,0.07758216,0,0.91961784,0,0,0,0,0
"90839-131",0,0,0.001,0,0.999,0,0,0,0,0
"90839-132",0.000199999999999978,0,0.0484903,0,0.9513097,0,0,0,0,0
"90839-133",0,0,0.1683,0,0.8317,0,0,0,0,0
"90839-134",0,0,0.8858,0,0.1142,0,0,0,0,0
"90839-135",0,0,0.9878,0,0.0122,0,0,0,0,0
"90839-136",0,0,0,0,1,0,0,0,0,0
"90839-137",0,0,0.4574,0,0.5426,0,0,0,0,0
"90839-138",0.0218,0,0.31273054,0,0.66546946,0,0,0,0,0
"90839-139",0,0,0,0,1,0,0,0,0,0
"90839-140",0,0,0.3356,0,0.6644,0,0,0,0,0
"90839-141",0.00190000000000001,0,0.43756704,0,0.56053296,0,0,0,0,0
"90839-142",0,0,0.9299,0,0.0701,0,0,0,0,0
"90839-143",9.9999999999989e-05,0,0.00119988,0,0.99870012,0,0,0,0,0
"90839-144",0,0,0.9288,0,0.0712,0,0,0,0,0
"90839-145",9.9999999999989e-05,0,0.01519848,0,0.98470152,0,0,0,0,0
"90839-146",0,0,0.9956,0,0.0044,0,0,0,0,0
"90839-147",0,0,0.2044,0,0.7956,0,0,0,0,0
"90839-148",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-149",9.9999999999989e-05,0,0.99970002,0,0.00019998,0,0,0,0,0
"90839-150",0,0,0.0964,0,0.9036,0,0,0,0,0
"90839-151",0,0,0.4299,0,0.5701,0,0,0,0,0
"90839-152",0.000900000000000012,0,0.00189829,0,0.99720171,0,0,0,0,0
"90839-153",0,0,0.1573,0,0.8427,0,0,0,0,0
"90839-154",0.000299999999999967,0,0.57852639,0,0.42117361,0,0,0,0,0
"90839-155",0.000199999999999978,0,0.92451506,0,0.07528494,0,0,0,0,0
"90839-156",0,0,0.0096,0,0.9904,0,0,0,0,0
"90839-157",0,0,0,0.1554,0,0,0.8446,0,0,0
"90839-158",0.000399999999999956,0,0.96151524,0,0.03808476,0,0,0,0,0
"90839-159",9.9999999999989e-05,0,0.99020097,0,0.00969903,0,0,0,0,0
"90839-160",9.9999999999989e-05,0,0.00019998,0,0.99970002,0,0,0,0,0
"90839-161",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-162",0,0,5e-04,0,0.9995,0,0,0,0,0
"90839-163",0,0,0.8992,0,0.1008,0,0,0,0,0
"90839-164",0.0449000000000001,0,0.11050507,0,0.84459493,0,0,0,0,0
"90839-165",0,0,0.9893,0,0.0107,0,0,0,0,0
"90839-166",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-167",0,0,0.0057,0,0.9943,0,0,0,0,0
"90839-168",0.000499999999999945,0,0.43228375,0,0.56721625,0,0,0,0,0
"90839-169",0.000199999999999978,0,0.94411114,0,0.05568886,0,0,0,0,0
"90839-170",0.0294,0,0.18334634,0,0.78725366,0,0,0,0,0
"90839-171",0.00219999999999998,0,0.02733972,0,0.97046028,0,0,0,0,0
"90839-172",0,0,0.8844,0,0.1156,0,0,0,0,0
"90839-173",0,0,0.6165,0,0.3835,0,0,0,0,0
"90839-174",0,0,0.0535,0,0.9465,0,0,0,0,0
"90839-175",0.00229999999999997,0,0.17080624,0,0.82689376,0,0,0,0,0
"90839-176",0,0,6e-04,0,0.9994,0,0,0,0,0
"90839-177",0,0,0.9924,0,0.0076,0,0,0,0,0
"90839-178",0,0,0,0,1,0,0,0,0,0
"90839-179",9.9999999999989e-05,0,0.00119988,0,0.99870012,0,0,0,0,0
"90839-180",0.000199999999999978,0,0.97490498,0,0.02489502,0,0,0,0,0
"90839-181",0,0,0.9682,0,0.0318,0,0,0,0,0
"90839-182",0.0144,0,0.97879936,0,0.00680064,0,0,0,0,0
"90839-183",0,0,0.1288,0,0.8712,0,0,0,0,0
"90839-184",0,0,0.7685,0,0.2315,0,0,0,0,0
"90839-185",9.9999999999989e-05,0,0.82721727,0,0.17268273,0,0,0,0,0
"90839-186",0.00570000000000004,0,0,9.943e-05,0,0,0.99420057,0,0,0
"90839-187",0.000700000000000034,0,0.97861449,0,0.02068551,0,0,0,0,0
"90839-188",0.000299999999999967,0,0.7327801,0,0.2669199,0,0,0,0,0
"90839-189",0.0731000000000001,0,0.80612493,0,0.12077507,0,0,0,0,0
"90839-190",0,0,0,0,1,0,0,0,0,0
"90839-191",0,0,0.0386,0,0.9614,0,0,0,0,0
"90839-192",0,0,0.6216,0,0.3784,0,0,0,0,0
"90839-193",0.00249999999999995,0,0.79590525,0,0.20159475,0,0,0,0,0
"90839-194",0.0393,0,0.01143233,0,0.94926767,0,0,0,0,0
"90839-195",0,0,0.0503,0,0.9497,0,0,0,0,0
"90839-196",0,0,0.0066,0,0.9934,0,0,0,0,0
"90839-197",0.001,0,0.1512486,0,0.8477514,0,0,0,0,0
"90839-198",0,0,0.476,0,0.524,0,0,0,0,0
"90839-200",0.0958,0,0,0,0,0,0,0.16646322,0.73773678,0
"90839-201",0.0105,0,0,0,0,0.9895,0,0,0,0
"90839-202",0.000399999999999956,0,0.40703712,0,0.59256288,0,0,0,0,0
"90839-203",0,0,0.5921,0,0.4079,0,0,0,0,0
"90839-204",0,0,9e-04,0,0.9991,0,0,0,0,0
"90839-205",0.1167,0,0.88321167,0,8.833e-05,0,0,0,0,0
"90839-207",0.02,0,0.576534,0,0.403466,0,0,0,0,0
"90839-208",0,0,0,0,1,0,0,0,0,0
"90839-209",0,0,0,0,1,0,0,0,0,0
"90839-210",0.004,0,0.9906216,0,0.0053784,0,0,0,0,0
"90839-211",0.0104,0,0.08659,0,0.90301,0,0,0,0,0
"90839-212",0.000700000000000034,0,0.98750826,0,0.01179174,0,0,0,0,0
"90839-214",9.9999999999989e-05,0,0.95150484,0,0.04839516,0,0,0,0,0
"90839-215",0.00749999999999995,0,0.901587,0,0.090913,0,0,0,0,0
"90839-216",0.000199999999999978,0,0.004999,0,0.994801,0,0,0,0,0
"90839-217",0.000199999999999978,0,0.91921612,0,0.08058388,0,0,0,0,0
"90839-218",0,0,0,0.0219,0,0,0.9781,0,0,0
"90839-219",0,0,0,0,0,0,0,0,0,1
"90839-220",0.000199999999999978,0,0,0.0004999,0,0,0.9993001,0,0,0
"90839-221",0.00749999999999995,0,0.000397,0,0.992103,0,0,0,0,0
"90839-222",9.9999999999989e-05,0,0.99650034,0,0.00339966,0,0,0,0,0
"90839-223",0,0,0.9807,0,0.0193,0,0,0,0,0
"90839-224",0.002,0,0.9768424,0,0.0211576,0,0,0,0,0
"90839-225",0.000299999999999967,0,0.82405271,0,0.17564729,0,0,0,0,0
"90839-226",0.00729999999999997,0,0.9927,0,0,0,0,0,0,0
"90839-227",0,0,0.9963,0,0.0037,0,0,0,0,0
"90839-228",9.9999999999989e-05,0,0,0,0,0,0,0,0,0.9999
"90839-229",0,0,0.3,0,0.7,0,0,0,0,0
"90839-230",9.9999999999989e-05,0,0,0,0.9999,0,0,0,0,0
"90839-231",0,0,0.3965,0,0.6035,0,0,0,0,0
"90839-233",0,0,1,0,0,0,0,0,0,0
"90839-234",0.000499999999999945,0,0.01949025,0,0.98000975,0,0,0,0,0
"90839-236",0.0155999999999999,0,0,0,0,0,0,0,0,0.9844
"90839-237",0.8525,0,0.14627575,0,0.00122425,0,0,0,0,0
"90839-238",0.00139999999999996,0,0,0.00089874,0,0,0.99770126,0,0,0
"90839-239",0,0,0,0,0,0,0,0,0,1
"90839-240",0.0600000000000001,0,0.000282,0,0.939718,0,0,0,0,0
"90839-241",0.00429999999999997,0,0.88696956,0,0.10873044,0,0,0,0,0
"90839-242",0,0,0,0,0,0,0,0,0,1
"90839-243",0,0,0.001,0,0.999,0,0,0,0,0
"90839-244",0,0,0,1e-04,0,0,0.9999,0,0,0
"90839-245",0.000299999999999967,0,0.99860033,0,0.00109967,0,0,0,0,0
"90839-246",0.00360000000000005,0,0.2187098,0,0.7776902,0,0,0,0,0
"90839-247",0,0,0.9825,0,0.0175,0,0,0,0,0
"90839-248",0.000900000000000012,0,0.99240603,0,0.00669397,0,0,0,0,0
"90839-250",0.9998,5.364e-05,6.42e-06,3.42e-06,0,0,0.0001295,4e-08,6.98e-06,0
"90839-251",0,0,0,0,0,0,0,0,0.0633,0.9367
"90839-252",9.9999999999989e-05,0,0.84011598,0,0.15978402,0,0,0,0,0
"90839-253",0,0,0,0,0,0,0,0,0,1
"90839-254",0.00719999999999998,0,0,0,0,0,0,0,0,0.9928
"90839-255",0.000399999999999956,0,0,0.029988,0,0,0.969612,0,0,0
"90839-256",0,0,0.6584,0,0.3416,0,0,0,0,0
"90839-257",0.000299999999999967,0,0,0,0,0,0,0,0,0.9997
"90839-258",0.00770000000000004,0,0,0,0,0,0,0.00585457,0.84722574,0.13921969
"90839-260",0.00309999999999999,0,0,0.0179442,0,0,0.9789558,0,0,0
"90839-261",0,0,0,0,0,0,0,0,0,1
"90839-262",0,0,0,0,0,0,0,0,0,1
"90839-263",0.5699,0.00051612,0,0.01918246,0,0,0.41040142,0,0,0
"90839-264",0,0,0.9851,0,0.0149,0,0,0,0,0
"90839-265",0,0,0,0,0,0,0,0,0,1
"90839-266",0,0,0,0.01,0,0,0.99,0,0,0
"90839-267",9.9999999999989e-05,0,9.999e-05,0,0.99980001,0,0,0,0,0
"90839-268",0.1613,0,0,0,0,0,0,0.21680395,0.62080574,0.00109031
"90839-269",0,0,0,0,0,1,0,0,0,0
"90839-270",0,0,0,0,0,1,0,0,0,0
"90839-271",0,0,0,0,0,1,0,0,0,0
"90839-272",0.002,0,0,0,0,0,0,0.0001996,0.0012974,0.996503
"90839-273",0,0,0,0,0,1,0,0,0,0
"90839-274",0,0,0,0,0,1,0,0,0,0
"90839-275",9.9999999999989e-05,0,0.99320067,0,0.00669933,0,0,0,0,0
"90839-276",0.000199999999999978,0,0,0,0,0,0,0,0,0.9998
"90839-278",0.0175,0,0,0,0,0,0,0,0,0.9825
"90839-279",0.9583,0,0,0,0,0,0,0.0417,0,0
"90839-280",0,0,0,0,0,0,0,0,0.1199,0.8801
"90839-281",0.0103,0,0.90112185,0,0.08857815,0,0,0,0,0
"90839-282",0,0,0,0,0,0,0,0,0,1
"90839-283",0,0,0,0,0,0,1,0,0,0
"90839-284",0.0266999999999999,0.00068131,0,0.95947914,0,0,0.01304222,9.733e-05,0,0
"90839-285",0,0,0,0,0,0,0,0,0,1
"90839-286",0.000199999999999978,0,0.90371922,0,0.09608078,0,0,0,0,0
"90839-287",0.000900000000000012,0,0,0,0,0,0,0,0,0.9991
"90839-288",0,0,0,0,0,0,0,0,1e-04,0.9999
"90839-289",9.9999999999989e-05,0,0.54414558,0,0.45575442,0,0,0,0,0
"90839-290",0,0,0,0,0,0,0,0,0,1
"90839-291",0,0,0,0,0,0,0,0,0,1
"90839-292",0.0816,0,0,0,0,0,0,0,0,0.9184
"90839-293",0.001,0,0,0.0007992,0,0,0.9982008,0,0,0
"90839-294",0,0,0,0,0,0,0,0,0,1
"90839-295",0,0,0,0,0,0,0,0,0,1
"90839-296",9.9999999999989e-05,0,0,0,0,0,0,0,0,0.9999
"90839-298",0,0,0,7e-04,0,0,0.9993,0,0,0
"90839-299",0,0,0,0,0,0,0,0,0,1
"90839-300",0.000199999999999978,0,0,0,0,0,0,0.00189962,0.16166766,0.83623272
"90839-301",0.000800000000000023,0,0.9802152,0,0.0189848,0,0,0,0,0
"90839-302",0,0,0,0,0,0,0,0,0,1
"90839-303",0,0,0,0,0,0,0,7e-04,0.9992,1e-04
"90839-304",0.000199999999999978,0,0,0,0,0,0,0.00089982,0.44781042,0.55108976
"90839-305",0.0359,0,0,0.15512369,0,0,0.80897631,0,0,0
"90839-306",0,0,0,0,0,1,0,0,0,0
"90839-307",0.0936,0,0,0.00190344,0,0.10505176,0.00054384,0.7985384,0.00036256,0
"90839-308",0,0,0,0,0,1,0,0,0,0
"90839-309",1,0,0,0,0,0,0,0,0,0
"90839-310",0,0,0,0,0,0.9991,0,8e-04,1e-04,0
