"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-002",0.9999,1.2e-07,2e-08,2.71e-06,0,0,0,1e-08,0,0,6e-08,0,0,3e-08,1e-08,2.13e-06,8.5e-07,0,0,1.3e-07,2.2e-07,0,0,0,2e-08,7.5e-06,8.456e-05,1.2e-07,0,1.8e-07,1.32e-06,0,1e-08
"90839-003",0.9999,6.95e-06,0,1.836e-05,0,0,0,2.6e-07,0,0,1e-08,0,0,8e-08,0,4.4e-07,2.9e-07,0,0,4e-08,6e-08,0,0,0,1.6e-07,3.55e-06,6.608e-05,3e-08,0,3e-08,3.65e-06,0,1e-08
"90839-004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-005",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-006",0.9999,4e-08,5e-08,4.5e-07,0,0,0,3e-08,0,0,6.3e-07,1e-08,4e-08,0,3.4e-07,8.2e-07,1.4e-07,0,6.8e-07,6.1e-07,3.5e-07,4e-08,0,0,1.5e-07,8.99e-06,8.474e-05,3.7e-07,0,1.03e-06,4.5e-07,0,4e-08
"90839-007",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-011",0.3061,0.0027756,0.00055512,0.00603693,0,0,0,0.00104085,0,0,0.00034695,0,0,0,0.00013878,0.01200447,0.00402462,0,0,0.00652266,0.00145719,0,0,0,0.00145719,0.05939784,0.58558221,0.00159597,0,0.00423279,0.00673083,0,0
"90839-012",0.9989,8.03e-06,0,1.584e-05,0,0,0,2.2e-07,0,0,0,4.4e-07,3.3e-07,1.1e-07,0,3.245e-05,2.002e-05,0,2.2e-07,1.32e-06,1.65e-06,0,0,0,4.4e-06,5.566e-05,0.00092103,1.32e-06,0,6.6e-07,3.586e-05,0,4.4e-07
"90839-013",0.9947,1.219e-05,0,9.911e-05,0,0,0,1.325e-05,0,0,0,0,0,8.48e-06,0,0.0005088,0.00023214,0,0,5.3e-07,4.77e-06,0,0,0,1.59e-05,0.00015052,0.0037683,1.06e-06,0,5.3e-07,0.00048442,0,0
"90839-014",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-015",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-016",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
