"ID","Not regional","N/Mid_OR_Cst","Rogue_R","N_CA/S_OR_Cst","Klamath_R","CA_Cst","Cent_Valley_sp","Cent_Valley_wi","Cent_Valley_fa"
"90839-001",1,0,0,0,0,0,0,0,0
"90839-002",1,0,0,0,0,0,0,0,0
"90839-003",1,0,0,0,0,0,0,0,0
"90839-004",1,0,0,0,0,0,0,0,0
"90839-005",1,0,0,0,0,0,0,0,0
"90839-006",1,0,0,0,0,0,0,0,0
"90839-007",1,0,0,0,0,0,0,0,0
"90839-008",1,0,0,0,0,0,0,0,0
"90839-009",1,0,0,0,0,0,0,0,0
"90839-010",1,0,0,0,0,0,0,0,0
"90839-011",1,0,0,0,0,0,0,0,0
"90839-012",1,0,0,0,0,0,0,0,0
"90839-013",1,0,0,0,0,0,0,0,0
"90839-014",1,0,0,0,0,0,0,0,0
"90839-015",1,0,0,0,0,0,0,0,0
"90839-016",1,0,0,0,0,0,0,0,0
"90839-017",1,0,0,0,0,0,0,0,0
"90839-018",1,0,0,0,0,0,0,0,0
"90839-019",1,0,0,0,0,0,0,0,0
"90839-020",1,0,0,0,0,0,0,0,0
"90839-021",1,0,0,0,0,0,0,0,0
"90839-022",1,0,0,0,0,0,0,0,0
"90839-023",1,0,0,0,0,0,0,0,0
"90839-024",1,0,0,0,0,0,0,0,0
"90839-025",1,0,0,0,0,0,0,0,0
"90839-026",1,0,0,0,0,0,0,0,0
"90839-027",1,0,0,0,0,0,0,0,0
"90839-028",1,0,0,0,0,0,0,0,0
"90839-029",0.9999,7.016e-05,1.6e-06,2.819e-05,0,0,0,0,5e-08
"90839-030",1,0,0,0,0,0,0,0,0
"90839-031",1,0,0,0,0,0,0,0,0
"90839-032",1,0,0,0,0,0,0,0,0
"90839-033",1,0,0,0,0,0,0,0,0
"90839-034",1,0,0,0,0,0,0,0,0
"90839-035",1,0,0,0,0,0,0,0,0
"90839-036",1,0,0,0,0,0,0,0,0
"90839-038",1,0,0,0,0,0,0,0,0
"90839-039",1,0,0,0,0,0,0,0,0
"90839-040",1,0,0,0,0,0,0,0,0
"90839-041",1,0,0,0,0,0,0,0,0
"90839-042",1,0,0,0,0,0,0,0,0
"90839-043",1,0,0,0,0,0,0,0,0
"90839-044",1,0,0,0,0,0,0,0,0
"90839-045",1,0,0,0,0,0,0,0,0
"90839-046",1,0,0,0,0,0,0,0,0
"90839-047",1,0,0,0,0,0,0,0,0
"90839-048",1,0,0,0,0,0,0,0,0
"90839-049",1,0,0,0,0,0,0,0,0
"90839-050",1,0,0,0,0,0,0,0,0
"90839-051",1,0,0,0,0,0,0,0,0
"90839-052",1,0,0,0,0,0,0,0,0
"90839-053",1,0,0,0,0,0,0,0,0
"90839-054",1,0,0,0,0,0,0,0,0
"90839-055",1,0,0,0,0,0,0,0,0
"90839-056",1,0,0,0,0,0,0,0,0
"90839-057",1,0,0,0,0,0,0,0,0
"90839-058",1,0,0,0,0,0,0,0,0
"90839-059",1,0,0,0,0,0,0,0,0
"90839-060",1,0,0,0,0,0,0,0,0
"90839-061",1,0,0,0,0,0,0,0,0
"90839-062",0.9995,0,0,0,0,0,1e-07,0,0.0004999
"90839-063",1,0,0,0,0,0,0,0,0
"90839-064",1,0,0,0,0,0,0,0,0
"90839-065",1,0,0,0,0,0,0,0,0
"90839-066",1,0,0,0,0,0,0,0,0
"90839-067",1,0,0,0,0,0,0,0,0
"90839-068",1,0,0,0,0,0,0,0,0
"90839-069",1,0,0,0,0,0,0,0,0
"90839-070",1,0,0,0,0,0,0,0,0
"90839-071",1,0,0,0,0,0,0,0,0
"90839-072",1,0,0,0,0,0,0,0,0
"90839-073",1,0,0,0,0,0,0,0,0
"90839-074",1,0,0,0,0,0,0,0,0
"90839-075",1,0,0,0,0,0,0,0,0
"90839-076",1,0,0,0,0,0,0,0,0
"90839-077",1,0,0,0,0,0,0,0,0
"90839-078",1,0,0,0,0,0,0,0,0
"90839-079",1,0,0,0,0,0,0,0,0
"90839-080",1,0,0,0,0,0,0,0,0
"90839-081",1,0,0,0,0,0,0,0,0
"90839-082",1,0,0,0,0,0,0,0,0
"90839-083",1,0,0,0,0,0,0,0,0
"90839-084",1,0,0,0,0,0,0,0,0
"90839-085",1,0,0,0,0,0,0,0,0
"90839-086",1,0,0,0,0,0,0,0,0
"90839-087",1,0,0,0,0,0,0,0,0
"90839-088",1,0,0,0,0,0,0,0,0
"90839-089",1,0,0,0,0,0,0,0,0
"90839-090",1,0,0,0,0,0,0,0,0
"90839-091",1,0,0,0,0,0,0,0,0
"90839-092",1,0,0,0,0,0,0,0,0
"90839-093",1,0,0,0,0,0,0,0,0
"90839-094",1,0,0,0,0,0,0,0,0
"90839-095",1,0,0,0,0,0,0,0,0
"90839-096",1,0,0,0,0,0,0,0,0
"90839-097",1,0,0,0,0,0,0,0,0
"90839-098",1,0,0,0,0,0,0,0,0
"90839-099",1,0,0,0,0,0,0,0,0
"90839-100",1,0,0,0,0,0,0,0,0
"90839-101",1,0,0,0,0,0,0,0,0
"90839-102",1,0,0,0,0,0,0,0,0
"90839-103",1,0,0,0,0,0,0,0,0
"90839-104",1,0,0,0,0,0,0,0,0
"90839-105",1,0,0,0,0,0,0,0,0
"90839-106",1,0,0,0,0,0,0,0,0
"90839-107",1,0,0,0,0,0,0,0,0
"90839-108",1,0,0,0,0,0,0,0,0
"90839-109",1,0,0,0,0,0,0,0,0
"90839-110",1,0,0,0,0,0,0,0,0
"90839-111",1,0,0,0,0,0,0,0,0
"90839-112",1,0,0,0,0,0,0,0,0
"90839-113",1,0,0,0,0,0,0,0,0
"90839-114",0.984,3.2e-06,0,0,0,0,1.6e-06,0,0.0159952
"90839-115",1,0,0,0,0,0,0,0,0
"90839-116",1,0,0,0,0,0,0,0,0
