"SampleID","SalmonID","Genotypic sex","species","Genetic_Stock_Best_Estimate","Probability_Best_Estimate","Genetic_Stock_2nd_Best_Estimate","Probability_2nd_Best_Estimate","PBT_Estimate","PBT_Hatchery_Probability"
"90839-001","50050","M","chinook","Mid.Up_Columbia_R_sp","0.65743425","Snake_Sp","0.34246575","Little_White_Salmon_sp","0.998581"
"90839-002","50051","F","chinook","Snake_Sp","0.75312468","Mid.Up_Columbia_R_sp","0.24677532","Lookingglass","0.998646"
"90839-003","50052","F","chinook","Snake_Sp","0.6662","Mid.Up_Columbia_R_sp","0.3338","Leavenworth","0.999059"
"90839-004","50053","F","chinook","Snake_Sp","0.5892","Mid.Up_Columbia_R_sp","0.4108","Dworshak","0.994260"
"90839-005","50054","F","chinook","SCG_F","1","Desch_F","0",NA,NA
"90839-006","50055","M","chinook","Snake_Sp","0.9997","Desch_F","0","Sawtooth","0.988212"
"90839-007","50056","M","chinook","Snake_Sp","0.9937","Mid.Up_Columbia_R_sp","0.0063","Rapid_River","0.993393"
"90839-008","50057","F","chinook","Snake_Sp","0.6891","Mid.Up_Columbia_R_sp","0.3109","Leavenworth","0.983124"
"90839-009","50058","F","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-010","50059","F","chinook","Snake_Sp","0.9999","Mid.Up_Columbia_R_sp","1e-04",NA,NA
"90839-012","50061","F","chinook","Mid.Up_Columbia_R_sp","0.91604175","Snake_Sp","0.08345825","Eastbank_sp","0.999996"
"90839-013","50062","M","chinook","Mid.Up_Columbia_R_sp","0.80093244","Snake_Sp","0.19376756","Dworshak","0.992403"
"90839-014","50063","M","chinook","Mid.Up_Columbia_R_sp","0.6297","Snake_Sp","0.3703","Carson","0.996010"
"90839-015","50064","M","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-016","50065","F","chinook","Snake_Sp","0.9981","Mid.Up_Columbia_R_sp","0.0019","Clearwater","0.998921"
"90839-017","50066","F","chinook","Mid.Up_Columbia_R_sp","0.52298128","Snake_Sp","0.47621872","McCall","0.998434"
"90839-018","50067","F","chinook","Mid.Up_Columbia_R_sp","0.8265038","Snake_Sp","0.1728962","Leavenworth","0.984783"
"90839-019","50068","F","chinook","WR_Sp","0.9953","Desch_F","0",NA,NA
"90839-020","50069","F","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-022","50071","M","chinook","Mid.Up_Columbia_R_sp","0.56844315","Snake_Sp","0.43145685","Leavenworth","0.945070"
"90839-023","50072","F","chinook","Mid.Up_Columbia_R_sp","0.5287884","Snake_Sp","0.4708116","Clearwater","0.999539"
"90839-024","50073","M","chinook","Mid.Up_Columbia_R_sp","0.5002","Snake_Sp","0.4998","Little_White_Salmon_sp","0.996527"
"90839-025","50074","M","chinook","Snake_Sp","1","Desch_F","0","Rapid_River","0.989356"
"90839-026","50075","M","chinook","Mid.Up_Columbia_R_sp","0.9918","Desch_F","0","Eastbank_sp","0.715428"
"90839-027","50076","M","chinook","WR_Sp","1","Desch_F","0","McKenzie","0.997670"
"90839-028","50077","F","chinook","WR_Sp","0.99590264","WC_Sp","0.00329736","S_Santiam","0.987416"
"90839-029","50078","M","chinook","WR_Sp","0.9999","Desch_F","0","Minto","0.989272"
"90839-030","50079","F","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-031","50080","M","chinook","WR_Sp","0.9999","Desch_F","0",NA,NA
"90839-032","50081","F","chinook","WC_Sp","0.9927034","WC_F","0.0065967",NA,NA
"90839-033","50082","M","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-034","50083","F","chinook","WC_Sp","0.88776702","WC_F","0.00035532",NA,NA
"90839-035","50084","M","chinook","WR_Sp","0.9993","Desch_F","0",NA,NA
"90839-036","50085","M","chinook","WR_Sp","1","Desch_F","0",NA,NA
"90839-039","50088","F","chinook","Snake_Sp","0.82147601","Mid.Up_Columbia_R_sp","0.17582399","McCall","0.998092"
"90839-040","50099","M","chinook","Mid.Up_Columbia_R_sp","0.7822","Snake_Sp","0.2178","Clearwater","0.997386"
"90839-041","50110","M","chinook","Mid.Up_Columbia_R_sp","0.99440559","Snake_Sp","0.00429441","Carson","0.998320"
"90839-043","50112","F","chinook","Mid.Up_Columbia_R_sp","0.9992","Snake_Sp","8e-04","Parkdale","0.999343"
"90839-044","50113","M","chinook","Mid.Up_Columbia_R_sp","0.9521","Snake_Sp","0.0479","Leavenworth","0.994753"
"90839-045","50114","F","chinook","Mid.Up_Columbia_R_sp","0.8228","Snake_Sp","0.1772","Carson","0.827418"
"90839-047","50116","F","chinook","Snake_Sp","0.995","Mid.Up_Columbia_R_sp","0.005","Dworshak","0.997401"
