"ID","Not regional","Deschutes_R_fa","Mid/Up_Columbia_R_sp","Snake_R_fa","Snake_R_sp","Spring_Cr_Group_tule","Up_Columbia_R_su/fa","W_Cascade_fa","W_Cascade_sp","Willamette_R"
"90839-001",0,0,0.6623,0,0.3377,0,0,0,0,0
"90839-002",0,0,0.252,0,0.748,0,0,0,0,0
"90839-003",0,0,0.3328,0,0.6672,0,0,0,0,0
"90839-004",0,0,0.4166,0,0.5834,0,0,0,0,0
"90839-005",0,0,0,0,0,1,0,0,0,0
"90839-006",0,0,0,0,1,0,0,0,0,0
"90839-007",0,0,0.0072,0,0.9928,0,0,0,0,0
"90839-008",0,0,0.3216,0,0.6784,0,0,0,0,0
"90839-009",0,0,0,0,0,0,0,0,0,1
"90839-010",0,0,0,0,1,0,0,0,0,0
"90839-011",0.6524,0,0.322399,0,0.025201,0,0,0,0,0
"90839-012",0.000800000000000023,0,0.91356856,0,0.08563144,0,0,0,0,0
"90839-013",0.00609999999999999,0,0.78597612,0,0.20792388,0,0,0,0,0
"90839-014",0,0,0.6271,0,0.3729,0,0,0,0,0
"90839-015",0,0,0,0,0,0,0,0,0,1
"90839-016",0,0,0.0034,0,0.9966,0,0,0,0,0
"90839-017",0.00149999999999995,0,0.47458705,0,0.52391295,0,0,0,0,0
"90839-018",0.000800000000000023,0,0.81854464,0,0.18065536,0,0,0,0,0
"90839-019",0.00390000000000001,0,0,0,0,0,0,0,0,0.9961
"90839-020",0,0,0,0,0,0,0,0,0,1
"90839-021",0.00849999999999995,0,0.01001415,0,0.98148585,0,0,0,0,0
"90839-022",0.000399999999999956,0,0.56817264,0,0.43142736,0,0,0,0,0
"90839-023",0.000399999999999956,0,0.51019584,0,0.48940416,0,0,0,0,0
"90839-024",9.9999999999989e-05,0,0.50734926,0,0.49255074,0,0,0,0,0
"90839-025",0,0,0,0,1,0,0,0,0,0
"90839-026",0.00739999999999996,0,0.9926,0,0,0,0,0,0,0
"90839-027",0,0,0,0,0,0,0,0,0,1
"90839-028",0.000299999999999967,0,0,0,0,0,0,0,0.00249925,0.99720075
"90839-029",0.000299999999999967,0,0,0,0,0,0,0,0,0.9997
"90839-030",0,0,0,0,0,0,0,0,0,1
"90839-031",0,0,0,0,0,0,0,0,0,1
"90839-032",0.000600000000000045,0,0,0,0,0,0,0.00819508,0.99120492,0
"90839-033",0,0,0,0,0,0,0,0,0,1
"90839-034",0.0975,0,0,0,0,0.0001805,0,0.000722,0.9015975,0
"90839-035",0.000299999999999967,0,0,0,0,0,0,0,0,0.9997
"90839-036",0,0,0,0,0,0,0,0,0,1
"90839-038",0.00190000000000001,0,0.72442098,0,0.27367902,0,0,0,0,0
"90839-039",0.00260000000000005,0,0.17165254,0,0.82574746,0,0,0,0,0
"90839-040",9.9999999999989e-05,0,0.77812218,0,0.22177782,0,0,0,0,0
"90839-041",0.00170000000000003,0,0.99241003,0,0.00588997,0,0,0,0,0
"90839-042",0,0,0.2157,0,0.7843,0,0,0,0,0
"90839-043",0,0,0.9994,0,6e-04,0,0,0,0,0
"90839-044",9.9999999999989e-05,0,0.95140485,0,0.04849515,0,0,0,0,0
"90839-045",0,0,0.8213,0,0.1787,0,0,0,0,0
"90839-046",0,0,0.0706,0,0.9294,0,0,0,0,0
"90839-047",9.9999999999989e-05,0,0.00539946,0,0.99450054,0,0,0,0,0
"90839-048",0,0,0.8688,0,0.1312,0,0,0,0,0
"90839-049",0,0,0.0046,0,0.9954,0,0,0,0,0
"90839-050",0,0,0.1393,0,0.8607,0,0,0,0,0
"90839-051",0.0104,0,0.81731064,0,0.17228936,0,0,0,0,0
"90839-052",0.000199999999999978,0,0,0.11287742,0,0,0.88692258,0,0,0
"90839-053",0,0,0.9839,0,0.0161,0,0,0,0,0
"90839-054",0.00790000000000002,0,0.98327031,0,0.00882969,0,0,0,0,0
"90839-055",0,0,0.8275,0,0.1725,0,0,0,0,0
"90839-056",0,0,0.0172,0,0.9828,0,0,0,0,0
"90839-057",0,0,8e-04,0,0.9992,0,0,0,0,0
"90839-058",0.000199999999999978,0,0.96120772,0,0.03859228,0,0,0,0,0
"90839-059",0.011,0,0.6758826,0,0.3131174,0,0,0,0,0
"90839-060",0,0,0.2913,0,0.7087,0,0,0,0,0
"90839-061",0.00239999999999996,0,0,0,0.9976,0,0,0,0,0
"90839-062",0.000499999999999945,0,0,0,0,0,0,0,0,0.9995
