"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-001",0.9999,7e-08,2e-08,8.4e-07,0,0,0,1.5e-07,0,0,2e-08,0,2e-08,0,0,9.9e-07,9.8e-07,0,0,7e-08,4e-07,0,0,0,4.6e-07,7.4e-06,8.677e-05,4.8e-07,3e-08,1.9e-07,1.11e-06,0,0
"90839-002",0.9998,1.6e-07,0,4.54e-06,0,0,0,0,0,0,2e-08,0,0,2e-08,0,3.04e-06,1.92e-06,0,0,2.4e-07,4.6e-07,0,0,0,1e-07,1.344e-05,0.00017328,1.6e-07,0,1.8e-07,2.44e-06,0,0
"90839-003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-005",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-006",0.9997,0,0,1.02e-06,0,0,0,9e-08,0,0,1.83e-06,3e-08,2.1e-07,0,8.7e-07,1.47e-06,3.3e-07,0,1.56e-06,1.35e-06,9.9e-07,1.2e-07,0,3e-08,4.8e-07,2.451e-05,0.00026016,9.9e-07,0,2.19e-06,1.71e-06,0,6e-08
"90839-007",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
