"","mixture_collection","indiv","repunit","rep_pofz"
"1","JSOES_May2024","90839-001","chinook",1
"2","JSOES_May2024","90839-002","chinook",1
"3","JSOES_May2024","90839-003","chinook",1
"4","JSOES_May2024","90839-004","chinook",1
"5","JSOES_May2024","90839-005","chinook",1
"6","JSOES_May2024","90839-006","chinook",1
"7","JSOES_May2024","90839-007","chinook",1
"8","JSOES_May2024","90839-008","chinook",1
"9","JSOES_May2024","90839-009","chinook",1
"10","JSOES_May2024","90839-010","chinook",1
"11","JSOES_May2024","90839-011","chinook",1
"12","JSOES_May2024","90839-012","chinook",1
"13","JSOES_May2024","90839-013","chinook",1
"14","JSOES_May2024","90839-014","chinook",1
"15","JSOES_May2024","90839-015","chinook",1
"16","JSOES_May2024","90839-016","chinook",1
"17","JSOES_May2024","90839-017","chinook",1
"18","JSOES_May2024","90839-018","chinook",1
"19","JSOES_May2024","90839-019","chinook",1
"20","JSOES_May2024","90839-020","chinook",1
"21","JSOES_May2024","90839-021","chinook",1
"22","JSOES_May2024","90839-022","chinook",1
"23","JSOES_May2024","90839-023","chinook",1
"24","JSOES_May2024","90839-024","chinook",1
"25","JSOES_May2024","90839-025","chinook",1
"26","JSOES_May2024","90839-026","chinook",1
"27","JSOES_May2024","90839-027","chinook",1
"28","JSOES_May2024","90839-028","chinook",1
"29","JSOES_May2024","90839-029","chinook",1
"30","JSOES_May2024","90839-030","chinook",1
"31","JSOES_May2024","90839-031","chinook",1
"32","JSOES_May2024","90839-032","chinook",1
"33","JSOES_May2024","90839-033","chinook",1
"34","JSOES_May2024","90839-034","chinook",1
"35","JSOES_May2024","90839-035","chinook",1
"36","JSOES_May2024","90839-036","chinook",1
"37","JSOES_May2024","90839-038","chinook",1
"38","JSOES_May2024","90839-039","chinook",1
"39","JSOES_May2024","90839-040","chinook",1
"40","JSOES_May2024","90839-041","chinook",1
"41","JSOES_May2024","90839-042","chinook",1
"42","JSOES_May2024","90839-043","chinook",1
"43","JSOES_May2024","90839-044","chinook",1
"44","JSOES_May2024","90839-045","chinook",1
"45","JSOES_May2024","90839-046","chinook",1
"46","JSOES_May2024","90839-047","chinook",1
"47","JSOES_May2024","90839-048","chinook",1
"48","JSOES_May2024","90839-049","chinook",1
"49","JSOES_May2024","90839-050","chinook",1
"50","JSOES_May2024","90839-051","chinook",1
"51","JSOES_May2024","90839-052","chinook",1
"52","JSOES_May2024","90839-053","chinook",1
"53","JSOES_May2024","90839-054","chinook",1
"54","JSOES_May2024","90839-055","chinook",1
"55","JSOES_May2024","90839-056","chinook",1
"56","JSOES_May2024","90839-057","chinook",1
"57","JSOES_May2024","90839-058","chinook",1
"58","JSOES_May2024","90839-059","chinook",1
"59","JSOES_May2024","90839-060","chinook",1
"60","JSOES_May2024","90839-061","chinook",1
"61","JSOES_May2024","90839-062","chinook",1
