PopName	RankInFDR	Kid	Pa	Ma	FDR	FDC.est.to.pop	Pvalue
Bonneville	1	90839-201	OtsPBT22-BonnTule-0868	OtsPBT22-BonnTule-0065	0.000000	0.00	0.000000
Bonneville	2	90839-271	OtsPBT22-BonnTule-0905	OtsPBT22-BonnTule-0105	0.000000	0.00	0.000000
Bonneville	3	90839-308	OtsPBT22-BonnTule-1301	OtsPBT22-BonnTule-0703	0.000000	0.00	0.000000
Bonneville	4	90839-633	OtsPBT22-BonnTule-0902	OtsPBT22-BonnTule-0099	0.000000	0.00	0.000000
Bonneville	5	90839-613	OtsPBT22-BonnTule-0665	OtsPBT22-BonnTule-0563	0.000753	0.00	0.001000
Bonneville	6	90839-612	OtsPBT22-BonnTule-1293	OtsPBT22-BonnTule-0490	0.001254	0.01	0.002000
Bonneville	7	90839-615	OtsPBT22-BonnTule-2392	OtsPBT22-BonnTule-2903	0.002150	0.02	0.004000
Bonneville	8	90839-372	OtsPBT22-BonnTule-1231	OtsPBT22-BonnTule-0433	0.002822	0.02	0.006000
Bonneville	9	90839-496	OtsPBT22-BonnTule-1942	OtsPBT22-BonnTule-1537	0.006271	0.06	0.015000
Bonneville	10	90839-632	OtsPBT22-BonnTule-1048	OtsPBT22-BonnTule-0250	0.009407	0.09	0.025000
Bonneville	11	90839-559	OtsPBT22-BonnTule-0675	OtsPBT22-BonnTule-0575	0.008893	0.10	0.026000
Bonneville	12	90839-384	OtsPBT22-BonnTule-1046	OtsPBT22-BonnTule-0247	0.010661	0.13	0.034000
Bonneville	13	90839-312	OtsPBT22-BonnTule-1940	OtsPBT22-BonnTule-1534	0.025181	0.33	0.087000
Bonneville	14	90839-616	OtsPBT22-BonnTule-1106	OtsPBT22-BonnTule-0187	0.255589	3.58	0.951000
Carson	1	90839-014	OtsPBT22-CarsonNFH-1313	OtsPBT22-CarsonNFH-1211	0.000000	0.00	0.000000
Carson	2	90839-041	OtsPBT22-CarsonNFH-0167	OtsPBT22-CarsonNFH-0069	0.000000	0.00	0.000000
Carson	3	90839-054	OtsPBT22-CarsonNFH-0736	OtsPBT22-CarsonNFH-0635	0.000000	0.00	0.000000
Carson	4	90839-083	OtsPBT22-CarsonNFH-1753	OtsPBT22-CarsonNFH-1514	0.000000	0.00	0.000000
Carson	5	90839-122	OtsPBT22-CarsonNFH-0346	OtsPBT22-CarsonNFH-0247	0.000000	0.00	0.000000
Carson	6	90839-181	OtsPBT22-CarsonNFH-0306	OtsPBT22-CarsonNFH-0206	0.000000	0.00	0.000000
Carson	7	90839-210	OtsPBT22-CarsonNFH-0115	OtsPBT22-CarsonNFH-0014	0.000000	0.00	0.000000
Carson	8	90839-214	OtsPBT22-CarsonNFH-0169	OtsPBT22-CarsonNFH-0071	0.000000	0.00	0.000000
Carson	9	90839-215	OtsPBT22-CarsonNFH-0795	OtsPBT22-CarsonNFH-0802	0.000000	0.00	0.000000
Carson	10	90839-227	OtsPBT22-CarsonNFH-0368	OtsPBT22-CarsonNFH-0269	0.000000	0.00	0.000000
Carson	11	90839-286	OtsPBT22-CarsonNFH-1724	OtsPBT22-CarsonNFH-1655	0.000000	0.00	0.000000
Carson	12	90839-330	OtsPBT22-CarsonNFH-0996	OtsPBT22-CarsonNFH-1039	0.000000	0.00	0.000000
Carson	13	90839-389	OtsPBT22-CarsonNFH-1301	OtsPBT22-CarsonNFH-1201	0.000000	0.00	0.000000
Carson	14	90839-427	OtsPBT22-CarsonNFH-0997	OtsPBT22-CarsonNFH-1041	0.000000	0.00	0.000000
Carson	15	90839-449	OtsPBT22-CarsonNFH-0996	OtsPBT22-CarsonNFH-1039	0.000000	0.00	0.000000
Carson	16	90839-458	OtsPBT22-CarsonNFH-1752	OtsPBT22-CarsonNFH-1523	0.000000	0.00	0.000000
Carson	17	90839-462	OtsPBT22-CarsonNFH-0128	OtsPBT22-CarsonNFH-0026	0.000000	0.00	0.000000
Carson	18	90839-598	OtsPBT22-CarsonNFH-0342	OtsPBT22-CarsonNFH-0243	0.000000	0.00	0.000000
Carson	19	90839-605	OtsPBT22-CarsonNFH-0102	OtsPBT22-CarsonNFH-0001	0.000000	0.00	0.000000
Carson	20	90839-607	OtsPBT22-CarsonNFH-0915	OtsPBT22-CarsonNFH-0829	0.000000	0.00	0.000000
Carson	21	90839-051	OtsPBT22-CarsonNFH-0720	OtsPBT22-CarsonNFH-0620	0.000002	0.00	0.001000
Carson	22	90839-118	OtsPBT22-CarsonNFH-1729	OtsPBT22-CarsonNFH-1664	0.000002	0.00	0.001000
Carson	23	90839-180	OtsPBT22-CarsonNFH-0718	OtsPBT22-CarsonNFH-0618	0.000002	0.00	0.001000
Carson	24	90839-441	OtsPBT22-CarsonNFH-0138	OtsPBT22-CarsonNFH-0036	0.000002	0.00	0.001000
Carson	25	90839-602	OtsPBT22-CarsonNFH-1708	OtsPBT22-CarsonNFH-1619	0.000001	0.00	0.001000
Carson	26	90839-071	OtsPBT22-CarsonNFH-0113	OtsPBT22-CarsonNFH-0012	0.000003	0.00	0.002000
Carson	27	90839-087	OtsPBT22-CarsonNFH-0355	OtsPBT22-CarsonNFH-0256	0.000003	0.00	0.002000
Carson	28	90839-159	OtsPBT22-CarsonNFH-0374	OtsPBT22-CarsonNFH-0275	0.000003	0.00	0.002000
Carson	29	90839-439	OtsPBT22-CarsonNFH-1768	OtsPBT22-CarsonNFH-1546	0.000004	0.00	0.003000
Carson	30	90839-155	OtsPBT22-CarsonNFH-1708	OtsPBT22-CarsonNFH-1619	0.000005	0.00	0.004000
Carson	31	90839-045	OtsPBT22-CarsonNFH-0168	OtsPBT22-CarsonNFH-0070	0.000043	0.00	0.036000
Chief_Joseph_su/fa	1	90839-218	OtsPBT22-CJHSINT-SuFa-0726	OtsPBT22-CJHSINT-SuFa-0712	0.000000	0.00	0.000000
Chief_Joseph_sp	1	90839-059	OtsPBT22-CJSp-0385	OtsPBT22-CJSp-0190	0.000000	0.00	0.000000
Chief_Joseph_sp	2	90839-187	OtsPBT22-CJSp-0439	OtsPBT22-CJSp-0254	0.000000	0.00	0.000000
Cle_Elum	1	90839-245	OtsYR22-7922	OtsYR22-8043	0.030000	0.03	0.030000
Clearwater	1	90839-016	OtsCLWH22S_2124	OtsCLWH22S_0602	0.000000	0.00	0.000000
Clearwater	2	90839-023	OtsCLWH22S_2354	OtsCLWH22S_0831	0.000000	0.00	0.000000
Clearwater	3	90839-079	OtsCLWH22S_1735	OtsCLWH22S_0219	0.000000	0.00	0.000000
Clearwater	4	90839-121	OtsCLWH22S_2108	OtsCLWH22S_0586	0.000000	0.00	0.000000
Clearwater	5	90839-137	OtsCLWH22S_1791	OtsCLWH22S_0273	0.000000	0.00	0.000000
Clearwater	6	90839-191	OtsCLWH22S_1774	OtsCLWH22S_0256	0.000000	0.00	0.000000
Clearwater	7	90839-246	OtsCLWH22S_1655	OtsCLWH22S_0141	0.000000	0.00	0.000000
Clearwater	8	90839-334	OtsCLWH22S_2137	OtsCLWH22S_0615	0.000000	0.00	0.000000
Clearwater	9	90839-040	OtsCLWH22S_2118	OtsCLWH22S_0596	0.000424	0.00	0.001000
Clearwater	10	90839-060	OtsCLWH22S_2338	OtsCLWH22S_0815	0.000381	0.00	0.001000
Clearwater	11	90839-594	OtsCLWH22S_1668	OtsCLWH22S_0154	0.000347	0.00	0.001000
Clearwater	12	90839-169	OtsCLWH22S_1736	OtsCLWH22S_0220	0.000635	0.01	0.002000
Clearwater	13	90839-388	OtsCLWH22S_2405	OtsCLWH22S_0906	0.000586	0.01	0.002000
Clearwater	14	90839-394	OtsCLWH22S_2290	OtsCLWH22S_0766	0.000545	0.01	0.002000
Clearwater	15	90839-058	OtsCLWH22S_2085	OtsCLWH22S_0566	0.000762	0.01	0.003000
Clearwater	16	90839-390	OtsCLWH22S_2446	OtsCLWH22S_1029	0.000715	0.01	0.003000
Clearwater	17	90839-217	OtsCLWH22S_2409	OtsCLWH22S_0911	0.001794	0.03	0.008000
Clearwater	18	90839-140	OtsCLWH22S_1946	OtsCLWH22S_0412	0.004024	0.07	0.019000
Clearwater	19	90839-385	OtsCLWH22S_2446	OtsCLWH22S_1029	0.005818	0.11	0.029000
Clearwater	20	90839-091	OtsCLWH22S_1853	OtsCLWH22S_0481	0.129603	2.59	0.680000
Clearwater	21	90839-113	OtsCLWH22S_2486	OtsCLWH22S_0906	0.170263	3.58	0.938000
Cowlitz	1	90839-356	OtsPBT22-COW-IMSp-0429	OtsPBT22-COW-IMSp-0148	0.000000	0.00	0.000000
Cowlitz	2	90839-367	OtsPBT22-COW-IMSp-0744	OtsPBT22-COW-IMSp-0695	0.000000	0.00	0.000000
